Ranking,Nome
1,Universidade de São Paulo
2,Universidade Estadual de Campinas
3,Universidade Federal do Rio de Janeiro
4,Universidade Federal de Minas Gerais
5,Universidade Federal do Rio Grande do Sul
6,Universidade Estadual Paulista Júlio de Mesquita Filho
7,Universidade Federal de Santa Catarina
8,Universidade Federal do Paraná
9,Universidade de Brasília
10,Universidade Federal de Pernambuco
11,Universidade Federal do Ceará
12,Universidade Federal de São Carlos
13,Universidade do Estado do Rio de Janeiro
14,Universidade Federal da Bahia
15,Universidade Federal de Viçosa
16,Universidade Federal de São Paulo
17,Universidade Federal Fluminense
18,Pontifícia Universidade Católica do Rio Grande do Sul
19,Pontifícia Universidade Católica do Rio de Janeiro
20,Universidade Federal de Goiás
21,Universidade Federal de Santa Maria
22,Universidade Federal do Rio Grande do Norte
23,Universidade Estadual de Londrina
24,Universidade Estadual de Maringá
25,Universidade Federal de Uberlândia
26,Universidade Federal de Juiz de Fora
27,Universidade Federal do Espírito Santo
28,Universidade Federal de Lavras
29,Universidade Federal do Pará
30,Pontifícia Universidade Católica do Paraná
31,Universidade Federal da Paraíba
32,Universidade Federal de Pelotas
33,Universidade Federal de Mato Grosso
34,Universidade Presbiteriana Mackenzie
35,Universidade Federal Rural do Rio de Janeiro
36,Universidade do Vale do Rio dos Sinos
37,Universidade Federal de Sergipe
38,Fundação Universidade Federal do Abc
39,Universidade Federal de Ouro Preto
40,Fundação Universidade do Estado de Santa Catarina
41,Universidade Federal de Mato Grosso do Sul
42,Universidade de Caxias do Sul
43,Universidade Estadual do Norte Fluminense Darcy Ribeiro
44,Universidade Federal de Campina Grande
45,Universidade Federal de Alagoas
46,Universidade Federal do Triângulo Mineiro
47,Universidade Tecnológica Federal do Paraná
48,Universidade Estadual de Ponta Grossa
49,Pontifícia Universidade Católica de Minas Gerais
50,Universidade Federal de São João Del Rei
51,Universidade Federal do Maranhão
52,Universidade Federal do Piauí
53,Universidade Federal de Itajubá
54,Universidade Federal do Rio Grande
55,Universidade Estadual do Ceará
56,Pontifícia Universidade Católica de São Paulo
57,Universidade Católica de Brasília
58,Universidade Estadual de Feira de Santana
59,Universidade Estadual de Santa Cruz
60,Universidade Federal do Amazonas
61,Fundação Universidade Federal de Ciências da Saúde de Porto Alegre
62,Universidade Estadual do Oeste do Paraná
63,Universidade de Fortaleza
64,Universidade Federal Rural de Pernambuco
